Kun,Slot,Sana,Hafta kuni,Kategoriya,Mavzu,Daraja,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,CTA taklifi
86,1,27-Mart,Juma,Tarjima Mashqi,1) Сенинг исминг нима? - Тед.  2) Ёшинг нечада? - 21 да.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
87,0,28-Mart,Shanba,Kitaba Shabloni,Fikr boshlash: في رأيي / من وجهة نظري (menimcha),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
87,1,28-Mart,Shanba,Imtihon Strategiyasi,Istima': savollarni audiodan OLDIN o'qib chiqish,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
88,0,29-Mart,Yakshanba,Fusha-Ammiya,Xohlayman: أريد (Fusha) / عايز (Misr) / بدّي (Shom) / أبغى (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
88,1,29-Mart,Yakshanba,Kino-Qoshiq Tahlili,Qo'shiq matnidagi takrorlanuvchi iboralar orqali yodlash usuli,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
89,0,30-Mart,Dushanba,Kunlik Ibora,إن شاء الله — Alloh xohlasa (kelajak reja),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
89,1,30-Mart,Dushanba,Sinonim-Antonim,سعيد (baxtli) — sinonim: مسرور / antonim: حزين (g'amgin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
90,0,31-Mart,Seshanba,Tarjima Mashqi,"1) Ўқувчимисан?  2) - Йўқ, мен талабаман.",A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
90,1,31-Mart,Seshanba,Kitaba Shabloni,Qarama-qarshi fikr: على العكس / بالرغم من (aksincha),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
91,0,1-Aprel,Chorshanba,Imtihon Strategiyasi,"Istima': kalit so'zlarni (sana, ism, joy) oldindan belgilash",A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
91,1,1-Aprel,Chorshanba,Fusha-Ammiya,Nima: ماذا (Fusha) / إيه (Misr) / شو (Shom) / وش (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
92,0,2-Aprel,Payshanba,Kino-Qoshiq Tahlili,Seriallardagi oddiy kundalik fe'llarni ajratib olish mashqi,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
92,1,2-Aprel,Payshanba,Kunlik Ibora,ما شاء الله — hayrat/duo ifodasi,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
93,0,3-Aprel,Juma,Sinonim-Antonim,سريع (tez) — sinonim: عاجل / antonim: بطيء (sekin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
93,1,3-Aprel,Juma,Tarjima Mashqi,"1) Уйланганмисан?  2) - Йўқ, мен бўйдоқман.",A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
94,0,4-Aprel,Shanba,Kitaba Shabloni,Xulosa qilish: وختامًا / في النهاية (xulosa qilib aytganda),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
94,1,4-Aprel,Shanba,Imtihon Strategiyasi,Qiraa (o'qish): skimming va scanning farqi,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
95,0,5-Aprel,Yakshanba,Fusha-Ammiya,Qanday: كيف (Fusha) / إزاي (Misr) / كيف (Shom) / كيف (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
95,1,5-Aprel,Yakshanba,Kino-Qoshiq Tahlili,Multfilm qahramonlari his-tuyg'usini ifodalovchi so'zlar,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
96,0,6-Aprel,Dushanba,Kunlik Ibora,بارك الله فيك — Alloh baraka bersin (minnatdorlik),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
96,1,6-Aprel,Dushanba,Sinonim-Antonim,جميل (chiroyli) — sinonim: رائع (ajoyib) / antonim: قبيح (xunuk),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
97,0,7-Aprel,Seshanba,Tarjima Mashqi,"1) Даданг уйдами?  2) - Йўқ, у ишда.",A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
97,1,7-Aprel,Seshanba,Kitaba Shabloni,Sabab bildirish: بسبب / نظرًا لـ (sababli),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
98,0,8-Aprel,Chorshanba,Imtihon Strategiyasi,Qiraa: notanish so'zni kontekstdan taxmin qilish,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
98,1,8-Aprel,Chorshanba,Fusha-Ammiya,Bugun: اليوم (Fusha) / النهارده (Misr) / اليوم (Shom) / اليوم (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
99,0,9-Aprel,Payshanba,Kino-Qoshiq Tahlili,Qo'shiqda 'sevgi/sog'inch' mavzusida keng qo'llanadigan so'zlar,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
99,1,9-Aprel,Payshanba,Kunlik Ibora,"مع السلامة — xayr, omon boring",A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
100,0,10-Aprel,Juma,Sinonim-Antonim,قوي (kuchli) — sinonim: شديد / antonim: ضعيف (kuchsiz),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
100,1,10-Aprel,Juma,Tarjima Mashqi,1) Ручкангни ранги қандай?  2) - У қизил.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
101,0,11-Aprel,Shanba,Kitaba Shabloni,Natija bildirish: لذلك / نتيجة لذلك (shuning uchun),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
101,1,11-Aprel,Shanba,Imtihon Strategiyasi,Kitaba: vaqtni reja/yozish/tekshirish qismlariga bo'lish,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
102,0,12-Aprel,Yakshanba,Fusha-Ammiya,Yaxshi: جيد (Fusha) / كويس (Misr) / منيح (Shom) / زين (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
102,1,12-Aprel,Yakshanba,Kino-Qoshiq Tahlili,Film dialogidagi savol-javob ritmini kuzatish,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
103,0,13-Aprel,Dushanba,Kunlik Ibora,بكل سرور — katta xursandchilik bilan (rozilik),A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
103,1,13-Aprel,Dushanba,Sinonim-Antonim,الصبر مفتاح الفرج — sabr najot kaliti (maqol),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
104,0,14-Aprel,Seshanba,Tarjima Mashqi,1) Қаердансан?  2) - Лондондан.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
104,1,14-Aprel,Seshanba,Kitaba Shabloni,Qo'shimcha fikr: بالإضافة إلى ذلك (bundan tashqari),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
105,0,15-Aprel,Chorshanba,Imtihon Strategiyasi,Kitaba: so'z sonini nazorat qilish (kam/ko'p emas),A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
105,1,15-Aprel,Chorshanba,Fusha-Ammiya,Yo'q: لا (Fusha) / لأ (Misr) / لا (Shom) / لا (Xalij) — ohang farqi,A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
106,0,16-Aprel,Payshanba,Kino-Qoshiq Tahlili,Ammiya bilan Fusha subtitr farqini solishtirish mashqi,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
106,1,16-Aprel,Payshanba,Kunlik Ibora,لا بأس — hechqisi yo'q / zarari yo'q,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
107,0,17-Aprel,Juma,Sinonim-Antonim,قريب (yaqin) — sinonim: مجاور / antonim: بعيد (uzoq),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
107,1,17-Aprel,Juma,Tarjima Mashqi,1) Онанг қаерда?  2) - У уйда.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
108,0,18-Aprel,Shanba,Kitaba Shabloni,Misol keltirish: على سبيل المثال (masalan),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
108,1,18-Aprel,Shanba,Imtihon Strategiyasi,Muhadasa: pauza va to'ldiruvchi iboralar (يعني، بصراحة),B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
109,0,19-Aprel,Yakshanba,Fusha-Ammiya,Ko'p: كثير (Fusha) / كتير (Misr/Shom) / وايد (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
109,1,19-Aprel,Yakshanba,Kino-Qoshiq Tahlili,Bolalar multfilmidagi son va rang so'zlarini mustahkamlash,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
110,0,20-Aprel,Dushanba,Kunlik Ibora,"على كل حال — har holda, baribir",B1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
110,1,20-Aprel,Dushanba,Sinonim-Antonim,جديد (yangi) — sinonim: حديث / antonim: قديم (eski),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
111,0,21-Aprel,Seshanba,Tarjima Mashqi,1) Қорнинг очми? - Йўқ.  2) Булар сенинг китобларингми? - Ҳа.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
111,1,21-Aprel,Seshanba,Kitaba Shabloni,Solishtirish: مقارنة بـ / بينما (solishtirganda),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
112,0,22-Aprel,Chorshanba,Imtihon Strategiyasi,Muhadasa: savolni tushunmasangiz qayta so'rash iborasi,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
112,1,22-Aprel,Chorshanba,Fusha-Ammiya,Bola: ولد (Fusha) / واد (Misr) / صبي (Shom) / ولد (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
113,0,23-Aprel,Payshanba,Kino-Qoshiq Tahlili,Qo'shiqdagi metafora va majoziy iboralarni tanish,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
113,1,23-Aprel,Payshanba,Kunlik Ibora,من فضلك — iltimos (rasmiy so'rov),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
114,0,24-Aprel,Juma,Sinonim-Antonim,"العلم نور والجهل ظلام — ilm nur, jaholat zulmat (maqol)",B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
114,1,24-Aprel,Juma,Tarjima Mashqi,1) Сенинг исминг нима? - Ник.  2) Сенинг опанг турмушга чиққанми? - Ҳа.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
115,0,25-Aprel,Shanba,Kitaba Shabloni,Rasmiy xat kirish qismi qolipi,A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
115,1,25-Aprel,Shanba,Imtihon Strategiyasi,Eng ko'p uchraydigan grammatik xato: fe'l-egalik moslashuvi,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
116,0,26-Aprel,Yakshanba,Fusha-Ammiya,"Uy: بيت (barcha lahjalarda umumiy, talaffuz farqi)",A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
116,1,26-Aprel,Yakshanba,Kino-Qoshiq Tahlili,Filmdagi imo-ishora va tana tili orqali ma'noni taxmin qilish,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
117,0,27-Aprel,Dushanba,Kunlik Ibora,بالتوفيق — omad tilayman,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
117,1,27-Aprel,Dushanba,Sinonim-Antonim,سهل (oson) — sinonim: بسيط (sodda) / antonim: صعب (qiyin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
118,0,28-Aprel,Seshanba,Tarjima Mashqi,1) Сен қаерликсан?  2) - Италиядан.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
