Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
68,9-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,English Box,Phrasal verb: 'figure out',Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
69,10-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Mind Box,Loss aversion — yo'qotishdan qo'rquv,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
70,11-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Productivity,Eng muhim 1 ish (MIT) tamoyili,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
71,12-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Business Box,Mijoz umrbod qiymati (LTV),Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
72,13-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Interesting Facts,Oktopusda uchta yurak bor,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
73,14-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Marketing Box,Hikoya orqali sotish (storytelling),Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
74,15-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,Arabic Box,ما شاء الله (mashaAllah),Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
75,16-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,Mental Models,Second-order fikrlash,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
76,17-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,Communication Box,Pauza — sukunatning kuchi,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
77,18-Mart,11,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,AI Box,Hallyutsinatsiya nima va nega bo'ladi,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
78,19-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,Leadership Box,Qiyin qarorlarning egasi bo'lish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
79,20-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,History Box,Ulug'bek va astronomiya maktabi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
80,21-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Amaliyot,Q1,Islamic Wisdom 🎯 Mavsumiy,Navro'z: yangilanish va tabiat uyg'oqligi,Tabiat yangilanishi — niyat va hayotni yangilash uchun ilhom.,Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bitta yangi yaxshi odatga 'qish'dan keyin start ber.
81,22-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Life Lessons,Solishtirish — quvonch o'g'risi,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Shu saboqni bugun bitta ishda yasha.
82,23-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Critical Thinking,'Qaerdan bilaman?' savoli,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
83,24-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Technology Box,"Kiberxavfsizlik asoslari (parol, 2FA)",Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
84,25-Mart,12,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Success Stories,Soichiro Honda — muvaffaqiyat 99% mag'lubiyat,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
85,26-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Decision Making,Opportunity cost har qarorda,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
86,27-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Book Box,Man's Search for Meaning — ma'no insonni qanday saqlaydi,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
87,28-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mahorat,Q1,Habits,Muhitni dizayn qilish (iroda emas),"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
88,29-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mustahkamlash,Q1,Money Box,Inflyatsiya pulingni qanday yeydi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
89,30-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mustahkamlash,Q1,English Box,'By and large' — umuman olganda,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
90,31-Mart,13,Yangilanish va o'sish,Yangilanish va o'sish · Mustahkamlash,Q1,Mind Box,Anchoring — birinchi raqam ta'siri,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
91,1-Aprel,13,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Productivity,Time blocking — vaqtni bo'laklash,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
92,2-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Business Box,Network effekti biznesda,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
93,3-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Interesting Facts,Muz suvda nega suzadi (anomal zichlik),Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
94,4-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Islamic Wisdom,Ilm izlashning fazli,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
95,5-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Life Lessons,Kechirimning ozodligi,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
96,6-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Marketing Box,Ijtimoiy dalil va sharhlar,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
97,7-Aprel,14,Bilim va kitob,Bilim va kitob · Asoslar,Q2,Arabic Box,So'z: صبر (sabr) — sabr,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
98,8-Aprel,14,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,Mental Models,Map ≠ territory (xarita hudud emas),Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
99,9-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,Communication Box,Savol berish san'ati,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
100,10-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,AI Box,AI va ish o'rinlari — haqiqat,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
101,11-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,Leadership Box,Fikr-mulohaza (feedback) berish san'ati,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
102,12-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,History Box,Buyuk Ipak yo'li saboqlari,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
103,13-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,Critical Thinking,Manbani tekshirish madaniyati,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
104,14-Aprel,15,Bilim va kitob,Bilim va kitob · Chuqurlashish,Q2,Technology Box,Blockchain qanday ishlaydi,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
105,15-Aprel,15,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Success Stories,Colonel Sanders (KFC) — 62 yoshda boshlangani,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
106,16-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Decision Making,Jarayon ≠ natija (Annie Duke),Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
107,17-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Habits,Streak — uzluksizlik kuchi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
108,18-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Islamic Wisdom,Vaqtning qadri,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
109,19-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Life Lessons,Kichik narsalardan minnatdorlik,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun bir kishidan kechirim so'ra yoki rahmat ayt.
110,20-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,Money Box,Diversifikatsiya tamoyili,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Markaziy bank moliyaviy savod,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bu oygi bitta moliyaviy maqsadingni yozib qo'y.
111,21-Aprel,16,Bilim va kitob,Bilim va kitob · Amaliyot,Q2,English Box,Collocation: 'make a decision' (do emas),Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Ishonchli ESL manbalari,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Shu so'zni bugun ovoz chiqarib mashq qil.
112,22-Aprel,16,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Mind Box,Spotlight effekti — 'hamma menga qaraydi',"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Universitet psix. manbalari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun bitta qaroringda bu xatoga e'tibor ber.
113,23-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Book Box 🎯 Mavsumiy,Jahon kitob kuni: bir kitob — bir umr,"Kitob — eng arzon, eng kuchli ustoz; bugun o'qishni qadrlash kuni.",Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,"Bugun bitta kitob ochib, atigi 10 betini o'qi."
114,24-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Productivity,Diqqatni o'g'irlovchilarni yo'qotish,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,GTD (David Allen),07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun ertaga uchun 3 ta MIT (eng muhim ish) yoz.
115,25-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Business Box,Moat — raqobat himoyasi,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Rasmiy kompaniya case-study'lari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun bitta gipotezangni kichik test bilan tekshir.
116,26-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Interesting Facts,Asalarilar 'raqs' bilan muloqot qiladi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Birlamchi tadqiqot,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Shu hodisa ortidagi sababni o'ylab ko'r.
117,27-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Marketing Box,Defitsit (scarcity) tamoyili,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Rasmiy brend case-study'lari,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun bitta mijozdan 'nega tanladingiz?' deb so'ra.
118,28-Aprel,17,Bilim va kitob,Bilim va kitob · Mahorat,Q2,Arabic Box,So'z: علم ('ilm) — ilm,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,E'tirofli til resurslari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu so'zni bugun bir jumlada eslab ko'r.
119,29-Aprel,17,Bilim va kitob,Bilim va kitob · Mustahkamlash,Q2,Mental Models,Circle of competence,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Modelning asl sohasi (fizika/biologiya...),07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugun shu nuqtai nazardan bitta masalaga qara.
120,30-Aprel,18,Bilim va kitob,Bilim va kitob · Mustahkamlash,Q2,Communication Box,Empatik javob berish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Ritorika klassikalari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Shu texnikani keyingi suhbatda sinab ko'r.
121,1-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,AI Box,Context window nima,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Universitet kurslari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun AI bilan bitta g'oyani brainstorming qil.
122,2-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Leadership Box,Vakil qilish (delegation),Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Harbiy/sport/biznes case'lar,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir mas'uliyatni ishonib topshir (delegatsiya).
123,3-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Critical Thinking,Tasdiqlash xatosini yengish,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Farnam Street / falsafa asoslari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bitta qarama-qarshi fikrni adolatli o'qib chiq.
124,4-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Technology Box,Algoritm nima — sodda misol,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Standart tashkilotlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun bitta raqamli gigiena qadamini bajar.
125,5-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Success Stories,Howard Schultz (Starbucks) yo'li,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,E'tiborli jurnalistika,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Bugun bitta 'rad javob'dan qo'rqmasdan harakat qil.
126,6-May,18,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Decision Making,Satisficing — yetarlicha yaxshini tanlash,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Qaror fani (decision science),07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugun bitta kichik qarorni 24 soat sovutib ko'r.
127,7-May,19,Mahorat va kasb,Mahorat va kasb · Asoslar,Q2,Islamic Wisdom,Halol rizq,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu fazilatni bitta ishda ko'rsat.
128,8-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,Life Lessons,'Bu ham o'tib ketadi',Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Shu saboqni bugun bitta ishda yasha.
129,9-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,History Box 🎯 Mavsumiy,Xotira va qadrlash kuni,"O'tmishni eslab, tinchlik va minnatdorlik qadrini anglash.",Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun o'tmishdan bitta saboqni yodda tut va qadrla.
130,10-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,Book Box,The 7 Habits — proaktivlik tamoyili,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Shu fikrni bugun bir amalga aylantir.
131,11-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,Habits,Yomon odatni qiyinlashtirish,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
132,12-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,Money Box,O'zingga avval to'la (pay yourself first),Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
133,13-May,19,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,English Box,'Touch base' — bog'lanib turmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
134,14-May,20,Mahorat va kasb,Mahorat va kasb · Chuqurlashish,Q2,Mind Box,Hedonik adaptatsiya (baxtga ko'nikish),"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
135,15-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Productivity,Single-tasking — bir ishga berilish,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
136,16-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Business Box,Pivot qachon kerak,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
137,17-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Interesting Facts,Kosmosda ovoz tarqalmaydi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
138,18-May,20,Mahorat va kasb,Mahorat va kasb · Amaliyot,Q2,Marketing Box,Sarlavha yozish san'ati,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
